trip_id,arc_id,arc_sequence,geometry,stop_id,interval_weekdays_morning,interval_weekends_morning,interval_weekdays_evening,interval_weekends_evening,route_short_name,route_long_name,route_type,length,t0,stops_number,geometry_stops,stop_dist,stops_order,coef_distance,from_node_id,from_node_lng,from_node_lat,to_node_id,to_node_lng,to_node_lat
35263,3182399989222055939,22,"LINESTRING (37.50666675 55.83387183, 37.50656542 55.833988569999995)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,14.46,1.7,1,,0.0,0,1.0,100000073,37.50666675,55.83387183,100000074,37.50656542,55.833988569999995
35263,3182400796675907587,23,"LINESTRING (37.50656542 55.833988569999995, 37.50612945 55.83447675, 37.50607995 55.83453512, 37.50597627 55.83467042000001, 37.50590321 55.83477788, 37.50585137 55.83486942, 37.50579952 55.8349636, 37.50574297000001 55.83508564000001, 37.50559687 55.83538676999999, 37.50552619 55.835588399999985, 37.50547906 55.83573032999999, 37.50535655 55.83613493, 37.50535639000001 55.83613552999999, 37.50524346 55.83656473, 37.50517226 55.83683411, 37.50517067 55.83683869999999, 37.50514473 55.83689573999999, 37.50514351 55.836897919999984, 37.50511085000001 55.83695610999999, 37.50509568 55.83698026)",1000827,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,347.95,41.8,1,POINT (37.5057291 55.8352425),0.0015258444565543277,0,1.0,100000074,37.50656542,55.833988569999995,100000075,37.50509568,55.83698026
35263,3358950725285932229,24,"LINESTRING (37.50509568 55.83698026, 37.5050526 55.837050239999996, 37.50504713 55.837060900000004, 37.50504368 55.83707181, 37.50504228 55.837082869999996, 37.50504292 55.837093949999996, 37.50504564 55.83710493, 37.505050360000006 55.8371157, 37.50505707 55.83712613, 37.50506569 55.837136099999995, 37.5050761 55.837145510000006, 37.5050882 55.83715426, 37.50510186 55.83716225999999, 37.50511693 55.83716939999999, 37.50513325 55.83717561, 37.5052631 55.83719764999999)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,32.78,3.9,1,,0.0,0,1.0,100000075,37.50509568,55.83698026,100000076,37.5052631,55.83719764999999
35263,2288139323370248468,25,"LINESTRING (37.5052631 55.83719764999999, 37.509795480806424 55.83753816198611)",103,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,1276.3,38.3,4,POINT (37.50611432 55.83722166),0.0008503467536604949,1,0.25,100000076,37.5052631,55.83719764999999,100000077,37.509795480806424,55.83753816198611
35263,2288139323370248468,25,"LINESTRING (37.509795480806424 55.83753816198611, 37.514328806549315 55.83786635289901)",104,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,1276.3,76.6,4,POINT (37.51312248 55.83772474),0.007876941362434144,2,0.5,100000077,37.509795480806424,55.83753816198611,100000078,37.514328806549315,55.83786635289901
35263,2288139323370248468,25,"LINESTRING (37.514328806549315 55.83786635289901, 37.51760644821612 55.84085264328008)",105,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,1276.3,114.89999999999999,4,POINT (37.51644356 55.8395005),0.011847044458145405,3,0.75,100000078,37.514328806549315,55.83786635289901,100000079,37.51760644821612,55.84085264328008
35263,2288139323370248468,25,"LINESTRING (37.51760644821612 55.84085264328008, 37.52201128 55.84155562)",106,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,1276.3,153.2,4,POINT (37.51935117 55.84121915),0.015451148777288816,4,1.0,100000079,37.51760644821612,55.84085264328008,100000080,37.52201128,55.84155562
35263,2884907758060400142,26,"LINESTRING (37.52201128 55.84155562, 37.522115340000006 55.8415925, 37.5221768 55.841618280000006, 37.52223035 55.84164915999999, 37.52227464 55.84168437, 37.5223086 55.84172303999999, 37.52233139 55.84176423000001, 37.52234245 55.84180691, 37.5223415 55.84185005, 37.52232086 55.84191456999999)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,48.61,5.8,1,,0.0,0,1.0,100000080,37.52201128,55.84155562,100000081,37.52232086,55.84191456999999
35263,2289585859855874997,27,"LINESTRING (37.52232086 55.84191456999999, 37.52225514 55.842095410000006, 37.52222005 55.84220327999999, 37.52219372 55.842306609999994, 37.52202892 55.84321292, 37.52186693 55.844199119999985, 37.52176187 55.84489405000001)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,333.64,40.0,1,,0.0,0,1.0,100000081,37.52232086,55.84191456999999,100000082,37.52176187,55.84489405000001
35263,2933974064598772829,28,"LINESTRING (37.52176187 55.84489405000001, 37.52172495 55.84513823999998)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,27.28,3.3,1,,0.0,0,1.0,100000082,37.52176187,55.84489405000001,100000083,37.52172495,55.84513823999998
35263,2933974073188707421,29,"LINESTRING (37.52172495 55.84513823999998, 37.52167007 55.84550119, 37.52154309 55.846212230000006, 37.52143419 55.84681051, 37.52130124 55.847541, 37.52108409 55.84871791)",107,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,400.46,48.1,1,POINT (37.52181196 55.84540799),0.0002537097168074778,0,1.0,100000083,37.52172495,55.84513823999998,100000084,37.52108409,55.84871791
35263,2349850848635405895,30,"LINESTRING (37.52108409 55.84871791, 37.52104168 55.84881888999999, 37.52099198 55.84892186999999)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,23.43,2.8,1,,0.0,0,1.0,100000084,37.52108409,55.84871791,100000086,37.52099198,55.84892186999999
35263,2925705667530512447,31,"LINESTRING (37.51966947400128 55.85126515847382, 37.51788124 55.85320118)",109,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,520.01,62.4,2,POINT (37.5192826 55.85217697),0.003666993501612774,2,1.0,100000085,37.51966947400128,55.85126515847382,100000087,37.51788124,55.85320118
35263,2925705667530512447,31,"LINESTRING (37.52099198 55.84892186999999, 37.51966947400128 55.85126515847382)",108,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,520.01,31.2,2,POINT (37.52077371 55.84940542),0.0005285778815145554,1,0.5,100000086,37.52099198,55.84892186999999,100000085,37.51966947400128,55.85126515847382
35263,2349766055905718331,32,"LINESTRING (37.51788124 55.85320118, 37.51734745 55.85349686)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,46.91,5.6,1,,0.0,0,1.0,100000087,37.51788124,55.85320118,100000088,37.51734745,55.85349686
35263,2885673925479234905,33,"LINESTRING (37.51734745 55.85349686, 37.51699331 55.85369303, 37.51655283 55.853950090000005, 37.51630578 55.85410749, 37.51592486 55.85436306999999, 37.51497688 55.8550458, 37.51419151 55.85562444000001, 37.51384588 55.85587537)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,344.14,41.3,1,,0.0,0,1.0,100000088,37.51734745,55.85349686,100000089,37.51384588,55.85587537
35263,2349768663949631607,34,"LINESTRING (37.51384588 55.85587537, 37.51348676 55.85613857999999, 37.51344499 55.85616898999999)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,41.21,4.9,1,,0.0,0,1.0,100000089,37.51384588,55.85587537,100000090,37.51344499,55.85616898999999
35263,2542028251357225326,35,"LINESTRING (37.51344499 55.85616898999999, 37.51314067 55.85639051, 37.51285366 55.85659546, 37.51139654 55.85765099999999)",110,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,208.94,25.1,1,POINT (37.51306166 55.85651928),0.0005155377550868673,0,1.0,100000090,37.51344499,55.85616898999999,100000091,37.51139654,55.85765099999999
35263,2349790906586492987,36,"LINESTRING (37.51139654 55.85765099999999, 37.51109678 55.857866869999995)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,30.49,3.7,1,,0.0,0,1.0,100000091,37.51139654,55.85765099999999,100000092,37.51109678,55.857866869999995
35263,2937626936976919803,37,"LINESTRING (37.51109678 55.857866869999995, 37.51108214 55.85787742, 37.50998486 55.85867783999999, 37.506495 55.86121611)",111,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,471.13,56.5,1,POINT (37.50880466 55.85959686),0.0028712546119419855,0,1.0,100000092,37.51109678,55.857866869999995,100000093,37.506495,55.86121611
35263,2962895281956777996,38,"LINESTRING (37.506495 55.86121611, 37.50597388 55.8615951, 37.50582208 55.86170743, 37.50571537 55.861788010000005, 37.50569858 55.86180228999999)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,82.12,9.9,1,,0.0,0,1.0,100000093,37.506495,55.86121611,100000094,37.50569858,55.86180228999999
35263,2886288257486257507,39,"LINESTRING (37.50569858 55.86180228999999, 37.50564277 55.86185535999999, 37.50561362 55.86189862999999, 37.50559731 55.861947149999985, 37.50559731 55.86198320999999, 37.50560081 55.86202254999999, 37.50561129 55.86210011)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,34.57,4.1,1,,0.0,0,1.0,100000094,37.50569858,55.86180228999999,100000016,37.50561129,55.86210011
35263,2991037458073112241,40,"LINESTRING (37.50561129 55.86210011, 37.50561923 55.86211389, 37.50564176 55.86216663)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,7.65,0.9,1,,0.0,0,1.0,100000016,37.50561129,55.86210011,100000017,37.50564176,55.86216663
35263,2939033245221860334,41,"LINESTRING (37.50564176 55.86216663, 37.50564743 55.86219357999999, 37.50564934 55.86222069000001, 37.50564819 55.86223702999999, 37.50564744 55.86224780999999, 37.50564177 55.86227477, 37.50563235 55.86230138999998, 37.50561926 55.86232751, 37.50560257 55.86235297999999, 37.50558237 55.86237762, 37.50555878 55.862401299999995, 37.50553198 55.862423869999986, 37.5055021 55.86244518, 37.50546934 55.86246511, 37.50543392 55.86248354000001, 37.50539602 55.86250034, 37.50535589 55.86251542, 37.50531379000001 55.86252868, 37.5053041 55.8625312)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,49.0,5.9,1,,0.0,0,1.0,100000017,37.50564176,55.86216663,100000018,37.5053041,55.8625312
35263,2991037509612719793,42,"LINESTRING (37.5053041 55.8625312, 37.50526996 55.86254005000001, 37.50522468 55.86254944, 37.50517823 55.86255681000001, 37.50513091 55.86256209999999)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,11.42,1.4,1,,0.0,0,1.0,100000018,37.5053041,55.8625312,100000019,37.50513091,55.86256209999999
